"filename", "language", "Markdown", "Python", "JSON", "C++", "C", "CMake", "Log", "Rust", "CMake Cache", "YAML", "comment", "blank", "total"
"v:\vex_os\boot\loader\target\release\.fingerprint\curve25519-dalek-derive-b9550572b34d0a87\lib-curve25519_dalek_derive.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\release\.fingerprint\generic-array-f4dc80595c54df6e\build-script-build-script-build.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\release\.fingerprint\proc-macro2-4785ec6557004dcf\run-build-script-build-script-build.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\release\.fingerprint\proc-macro2-72d2bc2b14af4d43\build-script-build-script-build.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\release\.fingerprint\proc-macro2-e6b5db7dddddaece\lib-proc_macro2.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\release\.fingerprint\ptr_meta_derive-8cfbc78be0d37a45\lib-ptr_meta_derive.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\release\.fingerprint\quote-12c2b458db79443d\run-build-script-build-script-build.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\release\.fingerprint\quote-28641a5334d22d3d\lib-quote.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\release\.fingerprint\quote-77f4dd0ddd3ba1c7\build-script-build-script-build.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\release\.fingerprint\rustc_version-f7247aef9f8080cb\lib-rustc_version.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\release\.fingerprint\semver-16dc8760dec18436\lib-semver.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\release\.fingerprint\syn-e1e5133e0a87bac0\lib-syn.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\release\.fingerprint\uefi-macros-0a3fa1c38dfd791d\lib-uefi_macros.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\release\.fingerprint\unicode-ident-5407e3ddb834d3f2\lib-unicode_ident.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\release\.fingerprint\version_check-44258754c0151999\lib-version_check.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\bit_field-cbe1201b4b875dce\lib-bit_field.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\bitflags-f2082f24f8d37ffe\lib-bitflags.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
