Date : 2026-07-19 04:39:40
Directory : v:\vex_os
Total : 206 files,  15979 codes, 28 comments, 2074 blanks, all 18081 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| tools\vex\target\release\.fingerprint\serde-dc3fb062b2b83cf3                                                                                     |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\serde-f9601ea804951f08                                                                                     |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\serde_core-5a3ae6acdfbb4b37                                                                                |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\serde_core-7b36b7fe65ef654c                                                                                |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\serde_core-ea16e9cd4d11896c                                                                                |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\serde_derive-1298e1eab080eb1e                                                                              |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\serde_derive-a149313b626afa1a                                                                              |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\serde_json-14f3bb76a9f80deb                                                                                |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\serde_json-867207b15e6a21e4                                                                                |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\serde_json-9758ef6abcae0085                                                                                |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\sha2-b3f09e28ae51f65d                                                                                      |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\signature-f8f9c804a518ef78                                                                                 |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\subtle-24653acb739cb3d6                                                                                    |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\syn-a3f1e3f85b6b34be                                                                                       |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\syn-a46212eabf746f6d                                                                                       |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\typenum-09696c8d04682e10                                                                                   |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\unicode-ident-30829473e3ef3dfa                                                                             |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\version_check-fe38d605a08b0f11                                                                             |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\vex-e038bf0b048e55ab                                                                                       |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\zeroize-dc82bf60408dc717                                                                                   |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\zmij-3231fc4877336a2f                                                                                      |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\zmij-363ba53b1dbf3c74                                                                                      |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\zmij-620c97463fe83c5a                                                                                      |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\build                                                                                                                   |          2 |         11 |          0 |          2 |         13 |
| tools\vex\target\release\build\serde-dc3fb062b2b83cf3                                                                                            |          1 |          6 |          0 |          1 |          7 |
| tools\vex\target\release\build\serde-dc3fb062b2b83cf3\out                                                                                        |          1 |          6 |          0 |          1 |          7 |
| tools\vex\target\release\build\serde_core-5a3ae6acdfbb4b37                                                                                       |          1 |          5 |          0 |          1 |          6 |
| tools\vex\target\release\build\serde_core-5a3ae6acdfbb4b37\out                                                                                   |          1 |          5 |          0 |          1 |          6 |
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                         | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| v:\vex_os\CMakeLists.txt                                                                                                                         | CMake    |      1,232 |          0 |         73 |      1,305 |
| v:\vex_os\apps\compositor\main.c                                                                                                                 | C        |        353 |          0 |         34 |        387 |
| v:\vex_os\apps\compositor\manifest.json                                                                                                          | JSON     |         14 |          0 |          1 |         15 |
| v:\vex_os\apps\diagnostics\main.c                                                                                                                | C        |        203 |          0 |         21 |        224 |
| v:\vex_os\apps\diagnostics\manifest.json                                                                                                         | JSON     |         13 |          0 |          1 |         14 |
| v:\vex_os\apps\gpu\main.c                                                                                                                        | C        |        347 |          0 |         36 |        383 |
| v:\vex_os\apps\gpu\manifest.json                                                                                                                 | JSON     |         14 |          0 |          1 |         15 |
| v:\vex_os\apps\init\desktop_animation.c                                                                                                          | C        |         26 |          0 |          4 |         30 |
| v:\vex_os\apps\init\desktop_animation.h                                                                                                          | C++      |         14 |          0 |          5 |         19 |
| v:\vex_os\apps\init\desktop_app_runtime.c                                                                                                        | C        |      1,111 |          8 |        102 |      1,221 |
| v:\vex_os\apps\init\desktop_app_runtime.h                                                                                                        | C++      |         65 |          0 |          8 |         73 |
| v:\vex_os\apps\init\desktop_catalog.c                                                                                                            | C        |         69 |          0 |         21 |         90 |
| v:\vex_os\apps\init\desktop_catalog.h                                                                                                            | C++      |         40 |          7 |          7 |         54 |
| v:\vex_os\apps\init\desktop_domain.c                                                                                                             | C        |        414 |          0 |         28 |        442 |
| v:\vex_os\apps\init\desktop_domain.h                                                                                                             | C++      |         36 |          0 |          5 |         41 |
| v:\vex_os\apps\init\desktop_input.c                                                                                                              | C        |        124 |          0 |          7 |        131 |
| v:\vex_os\apps\init\desktop_input.h                                                                                                              | C++      |         43 |          0 |          6 |         49 |
| v:\vex_os\apps\init\desktop_launcher.c                                                                                                           | C        |         30 |          0 |          4 |         34 |
| v:\vex_os\apps\init\desktop_launcher.h                                                                                                           | C++      |         14 |          0 |          5 |         19 |
| v:\vex_os\apps\init\desktop_layout.c                                                                                                             | C        |         98 |          0 |         12 |        110 |
| v:\vex_os\apps\init\desktop_layout.h                                                                                                             | C++      |         21 |          0 |          5 |         26 |
| v:\vex_os\apps\init\desktop_pointer.c                                                                                                            | C        |        163 |          0 |         16 |        179 |
| v:\vex_os\apps\init\desktop_pointer.h                                                                                                            | C++      |         49 |          0 |          7 |         56 |
| v:\vex_os\apps\init\desktop_ps2.c                                                                                                                | C        |        156 |          0 |         13 |        169 |
| v:\vex_os\apps\init\desktop_ps2.h                                                                                                                | C++      |         20 |          0 |          6 |         26 |
| v:\vex_os\apps\init\desktop_registry.c                                                                                                           | C        |        215 |          0 |         27 |        242 |
| v:\vex_os\apps\init\desktop_registry.h                                                                                                           | C++      |         25 |          0 |          5 |         30 |
| v:\vex_os\apps\init\desktop_rtc.c                                                                                                                | C        |        161 |          0 |         20 |        181 |
